epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.568,2.51097,3.28142,2.1297,0.84533,0.1798,0.54798,0.24095,1.36968,2.49691,1.19946,9e-05,9e-05,0.09109
2,201.366,2.42367,2.98425,2.02495,0.87321,0.58553,0.7777,0.37768,1.40542,1.79726,1.23746,0.000180595,0.000180595,0.0811806
3,296.612,2.40877,2.28862,2.03568,0.89067,0.75658,0.88086,0.44992,1.41971,1.26302,1.25931,0.00026129,0.00026129,0.0712613
4,400.07,2.38824,1.62863,2.01218,0.82256,0.84868,0.92,0.49234,1.3291,1.04844,1.24149,0.000332085,0.000332085,0.0613321
5,501.775,2.30013,1.41487,2.08904,0.88737,0.85526,0.93736,0.48074,1.35156,1.21555,1.27,0.00039298,0.00039298,0.051393
6,604.109,2.14326,1.39901,1.94627,0.88457,0.875,0.93912,0.44615,1.48161,1.05313,1.32309,0.000443975,0.000443975,0.041444
7,713.907,1.98364,1.23443,1.77439,0.87083,0.88709,0.93757,0.43231,1.5,0.99546,1.32033,0.00048507,0.00048507,0.0314851
8,818.071,2.04736,1.22751,1.83166,0.9032,0.87829,0.94122,0.42878,1.57028,0.95626,1.3246,0.000516265,0.000516265,0.0215163
9,923.042,1.85334,1.15359,1.69836,0.90102,0.89828,0.94097,0.42207,1.57064,0.96312,1.3064,0.00053756,0.00053756,0.0115376
10,1029.05,1.78242,1.10945,1.66648,0.92683,0.87829,0.93835,0.46475,1.48702,0.88572,1.24775,0.000548955,0.000548955,0.00154896
11,1134.77,1.66854,1.21191,1.63642,0.93737,0.86513,0.94503,0.45986,1.53492,0.92128,1.25282,0.000505,0.000505,0.000505
12,1241.29,1.61929,1.13361,1.5544,0.91616,0.86513,0.9434,0.4584,1.58802,0.94712,1.26047,0.0004555,0.0004555,0.0004555
13,1348.65,1.59349,1.05519,1.54679,0.87903,0.89145,0.95252,0.43807,1.67862,0.88681,1.28223,0.000406,0.000406,0.000406
14,1458.63,1.48597,1.01366,1.4816,0.89827,0.90042,0.95601,0.41557,1.81929,0.84544,1.33029,0.0003565,0.0003565,0.0003565
15,1567.43,1.47836,0.96053,1.48545,0.89434,0.89101,0.95156,0.4019,1.82647,0.89473,1.34937,0.000307,0.000307,0.000307
16,1691.85,1.4783,0.94916,1.47746,0.90227,0.88074,0.95397,0.3916,1.86287,0.90312,1.36347,0.0002575,0.0002575,0.0002575
17,1806.27,1.39881,0.90985,1.43717,0.89983,0.91601,0.96012,0.38335,1.93101,0.8633,1.38013,0.000208,0.000208,0.000208
18,1925.62,1.44042,0.90282,1.46477,0.93726,0.92434,0.97285,0.35585,2.03617,0.8503,1.43629,0.0001585,0.0001585,0.0001585
19,2048.22,1.41448,0.88265,1.42153,0.94934,0.92458,0.97671,0.35126,2.05897,0.8444,1.44696,0.000109,0.000109,0.000109
20,2173.5,1.36187,0.84756,1.3938,0.94061,0.93783,0.97927,0.35384,2.05759,0.84102,1.45026,5.95e-05,5.95e-05,5.95e-05
