epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,98.4171,2.08391,3.32369,1.73799,0.89846,0.20375,0.61379,0.27826,1.29422,2.40639,1.16492,9e-05,9e-05,0.09109
2,192.259,2.01035,2.88508,1.67025,0.89331,0.71053,0.83766,0.45108,1.26983,1.52606,1.14876,0.000180595,0.000180595,0.0811806
3,286.668,1.93672,2.14622,1.60936,0.91131,0.78289,0.90763,0.52312,1.21652,1.02537,1.10901,0.00026129,0.00026129,0.0712613
4,391.425,1.74868,1.53315,1.4834,0.93457,0.84539,0.95594,0.59086,1.1006,0.88248,1.07161,0.000332085,0.000332085,0.0613321
5,604.032,1.50317,1.20441,1.40744,0.91765,0.92434,0.97559,0.63569,1.16228,0.9215,1.09653,0.00039298,0.00039298,0.051393
6,697.075,1.37955,1.08644,1.33274,0.92799,0.97498,0.98153,0.61191,1.2733,0.74828,1.1172,0.000443975,0.000443975,0.041444
7,788.956,1.33467,0.93039,1.29518,0.96596,0.93092,0.97555,0.59031,1.32853,0.69137,1.12671,0.00048507,0.00048507,0.0314851
8,881.692,1.30644,0.86869,1.26587,0.94589,0.97697,0.97514,0.55229,1.40271,0.66776,1.15817,0.000516265,0.000516265,0.0215163
9,974.112,1.28223,0.82043,1.23545,0.9511,0.98026,0.97876,0.53659,1.43725,0.66479,1.17415,0.00053756,0.00053756,0.0115376
10,1199.41,1.20756,0.76546,1.20728,0.96871,0.96711,0.98923,0.54777,1.40973,0.63718,1.16162,0.000548955,0.000548955,0.00154896
11,1293.13,1.14283,0.76058,1.12655,0.95602,0.98684,0.99129,0.56047,1.39791,0.61438,1.14797,0.000505,0.000505,0.000505
12,1385.02,1.18886,0.70563,1.14013,0.98004,0.96886,0.99255,0.57268,1.37899,0.60554,1.13178,0.0004555,0.0004555,0.0004555
13,1476.41,1.1193,0.64761,1.10704,0.98327,0.96685,0.99323,0.57003,1.38389,0.61355,1.1358,0.000406,0.000406,0.000406
14,1570.21,1.10897,0.60976,1.10559,0.98356,0.98415,0.99409,0.57835,1.37979,0.57807,1.1488,0.0003565,0.0003565,0.0003565
15,1663.95,1.06327,0.58197,1.08735,0.99306,0.98684,0.99413,0.56704,1.41059,0.58238,1.16741,0.000307,0.000307,0.000307
16,1757.14,1.05075,0.56551,1.09054,0.98682,0.98523,0.994,0.56182,1.43457,0.58372,1.1844,0.0002575,0.0002575,0.0002575
17,1852.16,1.05241,0.5544,1.07574,0.99006,0.983,0.9941,0.5639,1.43555,0.57245,1.18062,0.000208,0.000208,0.000208
18,1946.95,1.07931,0.55126,1.09355,0.99005,0.98216,0.99386,0.55298,1.47511,0.559,1.19683,0.0001585,0.0001585,0.0001585
19,2040.43,1.09089,0.54711,1.09074,0.98617,0.98355,0.99359,0.55071,1.48026,0.55331,1.1983,0.000109,0.000109,0.000109
20,2141.61,1.0626,0.53394,1.07265,0.97729,0.991,0.99332,0.55101,1.47736,0.54935,1.19633,5.95e-05,5.95e-05,5.95e-05
